descripcion,metricas,query,owner
Están abiertas las inscripciones?,,Ya están abiertas las inscripciones para el ciclo 2023 de la carrera de fotografía.,
Cuando me puedo inscribir?,,Ya están abiertas las inscripciones para el ciclo 2023 de la carrera de fotografía.,
A partir de qué momento me puedo inscribir?,,Ya están abiertas las inscripciones para el ciclo 2023 de la carrera de fotografía.,
Cuando abren as inscripciones?,,Ya están abiertas las inscripciones para el ciclo 2023 de la carrera de fotografía.,
Ya me puedo anotar?,,Ya están abiertas las inscripciones para el ciclo 2023 de la carrera de fotografía.,
Hay vacantes?,,Ya están abiertas las inscripciones para el ciclo 2023 de la carrera de fotografía.,
Cuando está habilitado para inscribirse?,,Ya están abiertas las inscripciones para el ciclo 2023 de la carrera de fotografía.,
Tengo que tener conocimientos previos?,,No hace falta que tengas conocimientos previos en fotografía ni ningún conocimiento específico.,
Hay que saber de fotografía para inscribirse?,,No hace falta que tengas conocimientos previos en fotografía ni ningún conocimiento específico.,
Necesito saber algo para comenzar?,,No hace falta que tengas conocimientos previos en fotografía ni ningún conocimiento específico.,
Cómo es el programa?,,"Vamos a comenzar con los fundamentos de la fotografía. La luz, sus características, tipos de cámara, colores primarios y secundarios y equipo necesario. Luego aprenderemos los parámetros y partes de la cámara fotográfica, características principales, costos, marcas y todo lo que necesitas saber de las réflex. Te vamos a enseñar diferentes técnicas fotográficas, tales como el paneo, lightpainting, contraluz, macro fotografía, congelar movimiento y mostrar velocidad. Finalmente te vamos a guiar en el armado de un proyecto fotográfico.",
De qué es el curso de fotografía?,,"Vamos a comenzar con los fundamentos de la fotografía. La luz, sus características, tipos de cámara, colores primarios y secundarios y equipo necesario. Luego aprenderemos los parámetros y partes de la cámara fotográfica, características principales, costos, marcas y todo lo que necesitas saber de las réflex. Te vamos a enseñar diferentes técnicas fotográficas, tales como el paneo, lightpainting, contraluz, macro fotografía, congelar movimiento y mostrar velocidad. Finalmente te vamos a guiar en el armado de un proyecto fotográfico.",
De qué trata la carrera de fotografía?,,"Vamos a comenzar con los fundamentos de la fotografía. La luz, sus características, tipos de cámara, colores primarios y secundarios y equipo necesario. Luego aprenderemos los parámetros y partes de la cámara fotográfica, características principales, costos, marcas y todo lo que necesitas saber de las réflex. Te vamos a enseñar diferentes técnicas fotográficas, tales como el paneo, lightpainting, contraluz, macro fotografía, congelar movimiento y mostrar velocidad. Finalmente te vamos a guiar en el armado de un proyecto fotográfico.",
Qué se aprende en la carrera de fotografía?,,"Vamos a comenzar con los fundamentos de la fotografía. La luz, sus características, tipos de cámara, colores primarios y secundarios y equipo necesario. Luego aprenderemos los parámetros y partes de la cámara fotográfica, características principales, costos, marcas y todo lo que necesitas saber de las réflex. Te vamos a enseñar diferentes técnicas fotográficas, tales como el paneo, lightpainting, contraluz, macro fotografía, congelar movimiento y mostrar velocidad. Finalmente te vamos a guiar en el armado de un proyecto fotográfico.",
Cuantos alumnos tienen?,,"En los más de 45 años dedicándonos a la enseñanza privada de la fotografía, somos la escuela de mayor trayectoria del país, y tenemos mas de 10.000 alumnos egresados ejerciendo la fotografía profesional.",
Cuantas personas se graduaron de la escuela?,,"En los más de 45 años dedicándonos a la enseñanza privada de la fotografía, somos la escuela de mayor trayectoria del país, y tenemos mas de 10.000 alumnos egresados ejerciendo la fotografía profesional.",
Cuantos egresados tienen?,,"En los más de 45 años dedicándonos a la enseñanza privada de la fotografía, somos la escuela de mayor trayectoria del país, y tenemos mas de 10.000 alumnos egresados ejerciendo la fotografía profesional.",
Donde queda la escuela?,,"Contamos con 3 sedes ubicadas en diferentes partidos de Buenos Aires, para que puedas acercarte y conocer todo sobre nosotros. Estamos ubicados en Morón, San Martín y San Miguel.",
Donde se dicta la clase?,,"Contamos con 3 sedes ubicadas en diferentes partidos de Buenos Aires, para que puedas acercarte y conocer todo sobre nosotros. Estamos ubicados en Morón, San Martín y San Miguel.",
Dónde se toma el curso?,,"Contamos con 3 sedes ubicadas en diferentes partidos de Buenos Aires, para que puedas acercarte y conocer todo sobre nosotros. Estamos ubicados en Morón, San Martín y San Miguel.",
Qué sedes hay?,,"Contamos con 3 sedes ubicadas en diferentes partidos de Buenos Aires, para que puedas acercarte y conocer todo sobre nosotros. Estamos ubicados en Morón, San Martín y San Miguel.",
A dónde se cursa?,,"Contamos con 3 sedes ubicadas en diferentes partidos de Buenos Aires, para que puedas acercarte y conocer todo sobre nosotros. Estamos ubicados en Morón, San Martín y San Miguel.",
Cuántas sedes hay?,,"Contamos con 3 sedes ubicadas en diferentes partidos de Buenos Aires, para que puedas acercarte y conocer todo sobre nosotros. Estamos ubicados en Morón, San Martín y San Miguel.",
Me puedo comunicar con un profesor fuera de la clase?,,"Todos nuestros profesores van a estar disponibles para responder tus dudas y consultas cuando lo necesites, fuera del horario de clase.",
Qué pasa si me quedan preguntas despues de la clase?,,"Todos nuestros profesores van a estar disponibles para responder tus dudas y consultas cuando lo necesites, fuera del horario de clase.",
"Si tengo dudas después de una clase, que hago?",,"Todos nuestros profesores van a estar disponibles para responder tus dudas y consultas cuando lo necesites, fuera del horario de clase.",
Cuantas vacantes tienen?,,Tenemos 30 vacantes para cada uno de los horarios.,
Todavía quedan lugares?,,Tenemos 30 vacantes para cada uno de los horarios.,
Cuantas vacantes hay?,,Tenemos 30 vacantes para cada uno de los horarios.,
Hay vacantes?,,Tenemos 30 vacantes para cada uno de los horarios.,
Hay matricula?,,"Para inscribirte es necesario abonar una matricula, la misma se abona para reservar el cupo y el lugar dentro de las 30 vacantes que disponemos en cada horario.",
Qué tengo que pagar para inscribirme?,,"Para inscribirte es necesario abonar una matricula, la misma se abona para reservar el cupo y el lugar dentro de las 30 vacantes que disponemos en cada horario.",
Qué hay que pagar para la inscripción?,,"Para inscribirte es necesario abonar una matricula, la misma se abona para reservar el cupo y el lugar dentro de las 30 vacantes que disponemos en cada horario.",
Se paga matricula para inscribirse?,,"Para inscribirte es necesario abonar una matricula, la misma se abona para reservar el cupo y el lugar dentro de las 30 vacantes que disponemos en cada horario.",
Cuanto vale el curso?,,"El curso esta dividido en cómodas cuotas de  que se abonan del 1 al 10 de cada mes. Abonando en efectivo, se realiza un 10% de descuento sobre el importe de la cuota.",
Se paga?,,"El curso esta dividido en cómodas cuotas de  que se abonan del 1 al 10 de cada mes. Abonando en efectivo, se realiza un 10% de descuento sobre el importe de la cuota.",
Cuanto vale la cuota?,,"El curso esta dividido en cómodas cuotas de  que se abonan del 1 al 10 de cada mes. Abonando en efectivo, se realiza un 10% de descuento sobre el importe de la cuota.",
Cómo es la cuota del curso?,,"El curso esta dividido en cómodas cuotas de  que se abonan del 1 al 10 de cada mes. Abonando en efectivo, se realiza un 10% de descuento sobre el importe de la cuota.",
Cuales son los horarios disponibles?,,"Los horarios disponibles son  los Lunes y Miércoles de 15:30 a 17:30 o de 18:00 a 20:00, o los Martes y Jueves de 15:30 a 17:30, de 18:00 a 20:00 o de 20:15 a 22:15.",
A que hora se cursa?,,"Los horarios disponibles son  los Lunes y Miércoles de 15:30 a 17:30 o de 18:00 a 20:00, o los Martes y Jueves de 15:30 a 17:30, de 18:00 a 20:00 o de 20:15 a 22:15.",
Qué dia se cursa?,,"Los horarios disponibles son  los Lunes y Miércoles de 15:30 a 17:30 o de 18:00 a 20:00, o los Martes y Jueves de 15:30 a 17:30, de 18:00 a 20:00 o de 20:15 a 22:15.",
Cuantas horas por semana?,,"Los horarios disponibles son  los Lunes y Miércoles de 15:30 a 17:30 o de 18:00 a 20:00, o los Martes y Jueves de 15:30 a 17:30, de 18:00 a 20:00 o de 20:15 a 22:15.",
Qué dias son las clases?,,"Los horarios disponibles son  los Lunes y Miércoles de 15:30 a 17:30 o de 18:00 a 20:00, o los Martes y Jueves de 15:30 a 17:30, de 18:00 a 20:00 o de 20:15 a 22:15.",
Cómo es la cursada?,,"Los horarios disponibles son  los Lunes y Miércoles de 15:30 a 17:30 o de 18:00 a 20:00, o los Martes y Jueves de 15:30 a 17:30, de 18:00 a 20:00 o de 20:15 a 22:15.",
Qué horarios tienen?,,"Los horarios disponibles son  los Lunes y Miércoles de 15:30 a 17:30 o de 18:00 a 20:00, o los Martes y Jueves de 15:30 a 17:30, de 18:00 a 20:00 o de 20:15 a 22:15.",
Las clases son virtuales?,,Estamos trabajando con modalidad completamente presencial. También disponemos de cursos virtuales (consultar por los mismos en administración).,
Las clases son presenciales?,,Estamos trabajando con modalidad completamente presencial. También disponemos de cursos virtuales (consultar por los mismos en administración).,
Puedo cursar online?,,Estamos trabajando con modalidad completamente presencial. También disponemos de cursos virtuales (consultar por los mismos en administración).,
Se puede cursar remoto?,,Estamos trabajando con modalidad completamente presencial. También disponemos de cursos virtuales (consultar por los mismos en administración).,
La modalidad es presencial o virtual?,,Estamos trabajando con modalidad completamente presencial. También disponemos de cursos virtuales (consultar por los mismos en administración).,
Cómo me inscribo?,,"Al momento de anotarte, se completara una ficha de inscripción y se le otorgara al alumno un numero de matricula.",
Cómo me anoto?,,"Al momento de anotarte, se completara una ficha de inscripción y se le otorgara al alumno un numero de matricula.",
Que tengo que hacer para inscribirme?,,"Al momento de anotarte, se completara una ficha de inscripción y se le otorgara al alumno un numero de matricula.",
Cómo es la inscripción?,,"Al momento de anotarte, se completara una ficha de inscripción y se le otorgara al alumno un numero de matricula.",
